time,enrolled,available,waitlisted,total
2024-02-19T08:52:10,0,9999,0,9999
2024-02-19T09:07:40,0,9999,0,9999
2024-02-19T09:23:01,0,9999,0,9999
2024-02-19T09:38:18,0,9999,0,9999
2024-02-19T09:53:34,0,9999,0,9999
2024-02-19T10:09:02,0,9999,0,9999
2024-02-19T10:24:25,0,9999,0,9999
2024-02-19T10:39:47,0,9999,0,9999
2024-02-19T10:55:24,0,9999,0,9999
2024-02-19T11:10:40,0,9999,0,9999
2024-02-19T11:26:01,0,9999,0,9999
2024-02-19T11:41:22,0,9999,0,9999
2024-02-19T11:56:52,0,9999,0,9999
2024-02-19T12:12:36,0,9999,0,9999
2024-02-19T12:28:06,0,9999,0,9999
2024-02-19T12:43:30,0,9999,0,9999
2024-02-19T12:58:52,0,9999,0,9999
2024-02-19T13:14:25,0,9999,0,9999
2024-02-19T13:29:58,0,9999,0,9999
2024-02-19T13:45:22,0,9999,0,9999
2024-02-19T14:00:46,0,9999,0,9999
2024-02-19T14:16:06,0,9999,0,9999
2024-02-19T14:31:54,0,9999,0,9999
2024-02-19T14:47:22,0,9999,0,9999
2024-02-19T15:02:44,0,9999,0,9999
2024-02-19T15:18:23,0,9999,0,9999
2024-02-19T15:33:53,0,9999,0,9999
2024-02-19T15:49:21,0,9999,0,9999
2024-02-19T16:05:00,0,9999,0,9999
2024-02-19T16:20:45,0,9999,0,9999
2024-02-19T16:36:07,0,9999,0,9999
2024-02-19T16:51:38,0,9999,0,9999
2024-02-19T17:07:27,0,9999,0,9999
2024-02-19T17:23:01,0,9999,0,9999
2024-02-19T17:38:32,0,9999,0,9999
2024-02-19T17:54:17,0,9999,0,9999
2024-02-19T18:09:51,0,9999,0,9999
2024-02-19T18:25:24,0,9999,0,9999
2024-02-19T18:41:25,0,9999,0,9999
2024-02-19T18:56:55,0,9999,0,9999
2024-02-19T19:12:28,0,9999,0,9999
2024-02-19T19:27:55,0,9999,0,9999
2024-02-19T19:43:40,0,9999,0,9999
2024-02-19T19:59:00,0,9999,0,9999
2024-02-19T20:14:16,0,9999,0,9999
2024-02-19T20:29:40,0,9999,0,9999
2024-02-19T20:45:07,0,9999,0,9999
2024-02-19T21:00:39,0,9999,0,9999
2024-02-19T21:16:07,0,9999,0,9999
2024-02-19T21:32:00,0,9999,0,9999
2024-02-19T21:47:35,0,9999,0,9999
2024-02-19T22:03:00,0,9999,0,9999
2024-02-19T22:18:30,0,9999,0,9999
